MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367121010,2020-01-01T00:00:02,46.76918,-92.00262,0.1,42.5,294,AMERICAN CENTURY,IMO7923196,WDD2876,70,0,304,32,10.4,,A
367544060,2020-01-01T00:00:00,41.45276,-88.16721,0,246.7,347,ANN ELISE,,WDG5175,31,0,32,,,,A
367702110,2020-01-01T00:00:01,37.13053,-89.09533,4.3,17.6,19,DANIEL W WISE,,WDI4798,31,0,38,13,,,A
367669550,2020-01-01T00:00:02,51.70673,-178.22307,7.1,92.9,511,ALASKA CHALLENGER,IMO7938024,WDH9586,30,1,30,7,,30,A
367360430,2020-01-01T00:00:04,32.70476,-117.16302,0,109.6,233,SILVERGATE,,WDE4978,60,0,17,6,,,A
367604950,2020-01-01T00:00:06,36.9649,-89.09487,0,237.5,511,BARRY KELLEY,,WDH3166,31,15,14,,,,A
367327970,2020-01-01T00:00:06,35.10431,-90.08476,0,259,272,THOMAS GOLDING,,WDE2661,31,12,33,9,,57,A
367709190,2020-01-01T00:00:05,29.69271,-89.96864,0,224.4,149,SUSANNAH V GRIFFIN,,WDI5498,31,12,22,,,,A
366710820,2020-01-01T00:00:05,47.60289,-122.34012,0.2,61.6,89,WSF SEALTH,IMO7808152,WAK7089,60,0,100,23,5.2,,A
367427270,2020-01-01T00:00:00,27.82405,-97.43859,0.6,103,103,MISS KELLY,,WDF2315,31,15,26,9,,31,A
367693210,2020-01-01T00:00:07,31.15615,-81.49971,0,201.2,511,AFTERMATH,,WDI3910,37,,14,5,,,B
366972410,2020-01-01T00:00:10,29.7814,-95.09923,0,242.4,511,D W GILLIS,,WCP9623,31,15,12,5,,,A
367400740,2020-01-01T00:00:11,30.38713,-81.53982,10.1,87.4,511,CATHLEEN E MORAN,IMO6608684,WDE8034,31,0,31,8,4.7,31,A
367003790,2020-01-01T00:00:09,29.58047,-90.71604,0.4,360,511,FRANCIS C SETTOON,,WDD4746,31,15,15,6,,,A
353479000,2020-01-01T00:00:07,27.38841,-79.77105,7.5,113.3,128,CARNIVAL ECSTASY,IMO8711344,H3GR,60,0,260,31,7.8,,A
367587010,2020-01-01T00:00:08,30.42949,-91.20169,0.1,223.6,511,JACKSON MCKINNEY,,WDG9363,31,0,15,7,,52,A
367690570,2020-01-01T00:00:07,30.99905,-91.66464,0,269.5,242,MARK M,,WDI3657,31,0,30,,,,A
368063460,2020-01-01T00:00:07,30.0191,-93.9807,0,201.6,511,,,,,0,,,,,A
368064130,2020-01-01T00:00:07,29.77304,-95.10156,0,101.8,511,,,,,0,,,,,A
368018310,2020-01-01T00:00:06,30.09955,-86.84743,8,114.6,511,,,,,8,,,,,A
368018850,2020-01-01T00:00:07,40.64286,-80.41397,0,360,511,,,,,15,,,,,A
367387160,2020-01-01T00:00:08,38.17976,-85.90066,0,221.4,511,,,,,15,,,,,A
368062860,2020-01-01T00:00:07,47.92266,-122.68862,0,349.2,511,,,,,2,,,,,A
368104310,2020-01-01T00:00:06,29.36516,-94.89235,0,46.9,251,,,,,0,,,,,A
368061770,2020-01-01T00:00:06,32.98506,-79.61782,4.8,225.5,511,,,,,0,,,,,A
339659000,2020-01-01T00:00:06,18.435,-64.75833,0.3,177,77,,,,,0,,,,,A
548986000,2020-01-01T00:00:05,24.81322,-87.29838,14.6,327.3,330,,,,,0,,,,,A
368052580,2020-01-01T00:00:05,30.02255,-93.98236,0,204.3,133,,,,,12,,,,,A
367118440,2020-01-01T00:00:02,37.04883,-88.42613,0,320.4,70,CAPT JOHNNY COE,IMO5238224,WDD2677,31,0,44,10,,31,A
636092675,2020-01-01T00:00:08,19.10409,-67.77936,13.7,293.1,294,NORDIC MALMOE,IMO9602679,D5KK8,70,0,180,30,10.8,,A
367643790,2020-01-01T00:00:12,26.08187,-80.11626,0,247.3,511,TATE MCALLISTER,IMO9743461,WDH7005,31,0,28,11,,,A
367015670,2020-01-01T00:00:05,41.63585,-70.90717,0,256.9,511,RAINBOW,IMO8987345,WDC3878,31,0,26,9,,52,A
367721010,2020-01-01T00:00:05,40.12125,-79.86534,0.3,262.8,511,MARY ROSE,,WDI6668,31,0,21,,,,A
319003900,2020-01-01T00:00:00,26.06047,-80.13119,0,357.1,1,UNBRIDLED,IMO9526318,ZCXS6,37,5,58,10,2.7,,A
366935390,2020-01-01T00:00:02,41.6423,-87.47142,0,237.3,511,MARY BURKE LILES,IMO8971085,WCY8041,31,12,27,9,,,A
366978440,2020-01-01T00:00:02,46.75386,-92.09402,0,307.1,511,MISSOURI,,WAI9279,31,0,26,7,,52,A
367532850,2020-01-01T00:00:07,31.25992,-91.59145,10.5,278.1,511,CAMILLE B BARRETT,IMO8836663,WDG4089,31,0,59,16,,,A
366744020,2020-01-01T00:00:01,33.22434,-78.10484,9.2,60.5,63,MARY ALICE,IMO7402738,WCX9570,31,11,30,8,3.6,,A
246506000,2020-01-01T00:00:06,18.51715,-65.70062,15.7,102,102,VEENDAM,IMO9102992,PHEO,60,5,219,30,7.7,69,A
636017519,2020-01-01T00:00:12,29.94025,-90.36273,0,281.6,288,PORT ORIENT,IMO9735103,D5LI8,70,5,199,,,,A
246244000,2020-01-01T00:00:06,29.73202,-95.27597,0,344,344,ROLLDOCK SEA,IMO9404704,PBPF,70,5,140,24,5.6,,A
367474720,2020-01-01T00:00:12,29.84982,-89.98365,0,14,511,MOOSE,,WDF6482,31,15,17,7,,,A
367331150,2020-01-01T00:00:05,33.80862,-91.02101,0,237.4,511,BROTHER WILSON,,WDE2902,31,0,38,13,,31,A
368031660,2020-01-01T00:00:07,39.89734,-75.21209,0,247.9,151,JOKER,IMO8969317,WDK2018,12,0,24,8,0,12,A
367002050,2020-01-01T00:00:12,29.82409,-93.63414,0,0,511,CAPTAIN EDDIE,,WDC3053,31,0,19,7,,52,A
367425680,2020-01-01T00:00:02,42.3497,-71.03841,0,14.6,511,BLACK BEAUTY,IMO8037724,WDF2175,30,,19,6,,,B
366884240,2020-01-01T00:00:06,27.9334,-82.43387,0,253,511,ENDEAVOR,IMO9237905,WDB3177,31,15,26,15,1.6,,A
367303080,2020-01-01T00:00:10,29.73004,-95.02457,0,194.7,511,MICHELE GONSOULIN,,WDD8813,31,0,22,8,,,A
